Iteration, Rt, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,2.3251407699364424,0.1930599485139443,0.7371379852350599,0,0,25,25,0,7,18,1,0
1,2.838114614462194,0.22050205358872,0.8419169318842038,10,0,25,35,0,8,17,0.7142857142857143,0
2,3.4350408985563847,0.2504266977146929,0.9561746640015549,10,9,26,45,0,8,18,0.5777777777777777,0.2
3,4.207463869450907,0.2866858658899301,1.0946187606706421,16,13,30,59,0,12,18,0.5084745762711864,0.22033898305084745
4,4.704060956705088,0.30882182067326375,1.1791378607524616,15,21,36,72,0,18,18,0.5,0.2916666666666667
5,5.14834431453631,0.3279727348814668,1.2522595331837822,11,33,43,87,0,23,20,0.4942528735632184,0.3793103448275862
6,5.460293612337527,0.34109080816471227,1.3023467220834468,17,35,54,106,0,29,25,0.5094339622641509,0.330188679245283
7,6.154107510431465,0.36940497309243375,1.410455351807474,30,41,59,130,0,35,24,0.45384615384615384,0.3153846153846154
8,6.88074485413558,0.39793883224137966,1.5194028140125404,32,55,67,154,0,41,26,0.43506493506493504,0.35714285714285715
9,7.488301890039737,0.42103181562183417,1.6075760232833667,47,64,68,179,0,48,20,0.37988826815642457,0.3575418994413408
10,8.012820675248049,0.44046996595491167,1.6817944154642077,35,90,82,207,0,61,21,0.3961352657004831,0.43478260869565216
11,8.626127883302754,0.4626685153435925,1.7665525131300803,49,100,91,240,0,68,23,0.37916666666666665,0.4166666666666667
12,9.504619572939466,0.49357048065847897,1.8845418352414647,64,117,93,274,0,74,19,0.33941605839416056,0.42700729927007297
13,10.123154450073004,0.5147581844764747,1.965440340728358,65,147,94,306,0,77,17,0.30718954248366015,0.4803921568627451
14,10.780881645797749,0.536820226168886,2.0496772271902928,73,167,105,345,0,87,18,0.30434782608695654,0.48405797101449277
15,11.501984780494304,0.5604986155688899,2.1400856230812155,83,189,116,388,0,99,17,0.29896907216494845,0.48711340206185566
16,12.157200292368852,0.5815875035952291,2.220606831909056,93,212,125,430,0,111,14,0.29069767441860467,0.4930232558139535
17,12.754284379747334,0.6004775142388153,2.292732327093659,98,243,138,479,0,123,15,0.2881002087682672,0.5073068893528184
18,13.28421479532107,0.6169973204531614,2.355807950821162,111,263,160,534,0,146,14,0.299625468164794,0.49250936329588013
19,13.976841524263195,0.6382615939684607,2.4369988133341236,119,293,183,595,0,169,14,0.30756302521008405,0.492436974789916
20,14.62154243988533,0.6577408440122051,2.511374131682966,137,322,202,661,0,187,15,0.30559757942511345,0.48714069591527986
21,15.456067136083632,0.6825356634911344,2.606045260602513,147,365,214,726,0,204,10,0.29476584022038566,0.5027548209366391
22,16.137573978965268,0.7024544735406022,2.6820988989732086,153,417,228,798,0,220,8,0.2857142857142857,0.5225563909774437
23,16.65554642573976,0.7174064473788877,2.7391882536284813,176,449,259,884,0,249,10,0.29298642533936653,0.5079185520361991
24,17.308936523013664,0.7360482344821646,2.810365986204628,186,489,296,971,0,284,12,0.30484037075180226,0.5036045314109165
25,18.332468073816838,0.7647860836013736,2.920092319205246,227,526,305,1058,0,297,8,0.2882797731568998,0.497164461247637
26,19.116918580257263,0.7864502934368477,3.0028102113043293,238,603,305,1146,0,300,5,0.2661431064572426,0.5261780104712042
27,19.98417131471072,0.8100592418559652,3.0929534689045943,239,674,324,1237,0,317,7,0.26192400970088925,0.5448666127728375
28,20.393131288758106,0.8210733607943114,3.1350073775782787,266,733,333,1332,0,324,9,0.25,0.5503003003003003
29,21.121922519952477,0.8405205098609794,3.2092601285601052,277,777,387,1441,0,385,2,0.2685634975711312,0.5392088827203331
30,22.167105552690984,0.8680245559894013,3.3142755774140795,314,838,399,1551,0,397,2,0.2572533849129594,0.5402965828497743
31,23.107045450572844,0.8923919230649778,3.4073146153390055,340,926,399,1665,0,395,4,0.23963963963963963,0.5561561561561561
32,23.756054716404968,0.9090244468778469,3.4708206153517787,346,1028,414,1788,0,410,4,0.23154362416107382,0.5749440715883669
33,24.397943418128566,0.9253261415813833,3.533063449674373,353,1101,458,1912,0,454,4,0.2395397489539749,0.575836820083682
34,25.158932827222255,0.9444685384461694,3.6061526013399186,391,1161,494,2046,0,490,4,0.24144672531769307,0.5674486803519062
35,25.957266963855094,0.9643440257780057,3.6820408256978383,419,1244,528,2191,0,522,6,0.2409858512094934,0.56777727065267
36,27.017659550809693,0.9904316308653304,3.781648045122172,404,1347,587,2338,0,577,10,0.2510692899914457,0.5761334473909324
37,27.753659470741816,1.0083381264981561,3.850018301174778,446,1471,571,2488,0,559,12,0.2295016077170418,0.5912379421221865
38,28.412965881417893,1.024244714986502,3.9107525481302803,460,1565,632,2657,0,616,16,0.23786225065863756,0.5890101618366579
39,29.580108735024936,1.0521052697769315,4.017129211875557,516,1648,650,2814,0,642,8,0.23098791755508175,0.5856432125088842
40,30.51899514814647,1.0742520025525044,4.10168946429138,548,1800,638,2986,0,632,6,0.21366376423308775,0.6028131279303416
41,31.436340131766332,1.0956722720801362,4.183475947942336,568,1938,645,3151,0,637,8,0.2046969216121866,0.6150428435417328
42,32.34696484634982,1.1167304961436249,4.2638800761847495,589,2059,677,3325,0,669,8,0.203609022556391,0.6192481203007518
43,33.17518391045101,1.1357120783783219,4.336355208353594,614,2195,692,3501,0,684,8,0.19765781205369895,0.6269637246501
44,34.08357716487115,1.156350425181736,4.415156168875718,662,2313,704,3679,0,696,8,0.19135634683337863,0.6287034520250068
45,34.88720554501861,1.1744561537882285,4.484287132645963,671,2458,713,3842,0,707,6,0.1855804268610099,0.6397709526288391
46,35.46337792769389,1.1873518101677125,4.533525093367632,690,2599,701,3990,0,695,6,0.17568922305764412,0.6513784461152882
47,36.14210624619348,1.2024535919136605,4.591186441852162,745,2687,673,4105,0,671,2,0.16394640682095007,0.6545676004872107
48,36.46574724177527,1.2096213123755026,4.618554101797373,765,2791,634,4190,0,632,2,0.1513126491646778,0.666109785202864
49,36.59430844326821,1.2124626844895035,4.629402977141741,778,2864,613,4255,0,611,2,0.14406580493537016,0.673090481786134
50,36.70352290149393,1.214873854999554,4.638609264543749,819,2878,608,4305,0,606,2,0.14123112659698026,0.6685249709639953
51,36.71655690118382,1.215161451886822,4.639707361749682,850,2898,602,4350,0,600,2,0.13839080459770114,0.6662068965517242
52,36.75679613505838,1.216049121155005,4.643096644410019,875,2905,613,4393,0,611,2,0.13954017755520146,0.661279307989984
53,36.859862063124616,1.218321258464192,4.651772077772372,891,2930,613,4434,0,611,2,0.13824988723500226,0.6608028867839423
54,37.01920123328173,1.221829803039389,4.665168338877669,923,2937,614,4474,0,612,2,0.13723737147966025,0.656459544032186
55,37.29955669178786,1.2279908532911874,4.688692348929993,924,2990,590,4504,0,590,0,0.13099467140319715,0.6638543516873889
56,37.380804135667006,1.2297734469888368,4.695498615775558,949,3049,532,4530,0,532,0,0.11743929359823399,0.6730684326710816
57,37.51424554584395,1.2326983924901331,4.706666589507781,954,3081,516,4551,0,516,0,0.1133816743572841,0.6769940672379697
58,37.572414478644475,1.2339723304477175,4.71153071625492,997,3082,481,4560,0,481,0,0.10548245614035087,0.6758771929824562
59,37.61319317034522,1.2348650186961945,4.714939162294561,978,3106,487,4571,0,487,0,0.1065412382410851,0.6795012032378035
60,37.65752100552823,1.2358350355482497,4.718642863002408,998,3106,475,4579,0,475,0,0.1037344398340249,0.6783140423673291
61,37.67923810372068,1.236310127395494,4.720456850055522,1026,3106,450,4582,0,450,0,0.09821038847664776,0.6778699257965953
62,37.68397229314942,1.2364136822809326,4.720852241436289,1026,3106,452,4584,0,452,0,0.09860383944153578,0.6775741710296684
63,37.6839722931494,1.2364136822809326,4.720852241436289,1026,3106,452,4584,0,452,0,0.09860383944153578,0.6775741710296684
64,37.68397229314938,1.2364136822809326,4.720852241436287,1026,3106,452,4584,0,452,0,0.09860383944153578,0.6775741710296684
65,37.68397229314942,1.2364136822809326,4.720852241436289,1026,3106,452,4584,0,452,0,0.09860383944153578,0.6775741710296684
66,37.68397229314943,1.2364136822809324,4.720852241436288,1026,3106,452,4584,0,452,0,0.09860383944153578,0.6775741710296684
67,37.68397229314938,1.2364136822809326,4.720852241436287,1026,3106,452,4584,0,452,0,0.09860383944153578,0.6775741710296684
68,37.684711891182495,1.2364298597357088,4.720914009899978,1035,3106,443,4584,0,443,0,0.09664048865619546,0.6775741710296684
69,37.68446419120556,1.2364244417298755,4.720893322968614,1047,3106,431,4584,0,423,8,0.09402268760907505,0.6775741710296684
70,37.677414596459876,1.2362702391388711,4.720304549439324,1083,3106,395,4584,0,379,16,0.08616928446771378,0.6775741710296684
71,37.699662310686705,1.236756852161888,4.722162526436299,1118,3106,360,4584,0,314,46,0.07853403141361257,0.6775741710296684
72,37.669664252408104,1.2361006972826034,4.719657207806302,1149,3106,329,4584,0,256,73,0.07177137870855148,0.6775741710296684
73,37.67774588097435,1.2362774858601946,4.720332218738924,1182,3106,296,4584,0,198,98,0.06457242582897033,0.6775741710296684
74,37.67289342224701,1.2361713380690704,4.7199269271728115,1190,3106,288,4584,0,163,125,0.06282722513089005,0.6775741710296684
75,37.683572182797626,1.2364049305002918,4.720818825546565,1202,3106,276,4584,0,139,137,0.060209424083769635,0.6775741710296684
76,37.67789018993117,1.2362806425564767,4.720344271579274,1199,3106,279,4584,0,139,140,0.06086387434554974,0.6775741710296684
77,37.68894428304015,1.2365224341062084,4.721267475678251,1217,3106,261,4584,0,116,145,0.05693717277486911,0.6775741710296684
78,37.67994248417983,1.2363255351731055,4.720515679751858,1205,3106,273,4584,0,116,157,0.05955497382198953,0.6775741710296684
0,2.325140769936443,0.19305994851394429,0.7371379852350599,0,0,25,25,0,5,20,1,0
1,2.5313387503076967,0.2043115240791563,0.7800985464840513,12,0,15,27,0,3,12,0.5555555555555556,0
2,2.9965493114086983,0.22863373146797247,0.8729651565140767,10,9,12,31,0,3,9,0.3870967741935484,0.2903225806451613
3,3.361104158513703,0.24682018071314366,0.9424043263592757,12,9,15,36,0,4,11,0.4166666666666667,0.25
4,3.603944821935199,0.25856998320976265,0.9872672086190938,11,13,20,44,0,6,14,0.45454545454545453,0.29545454545454547
5,4.11558179662058,0.28249678541294,1.078624089758498,8,21,26,55,0,8,18,0.4727272727272727,0.38181818181818183
6,4.556928153583211,0.3023482593965428,1.1544206267867998,14,21,32,67,0,10,22,0.47761194029850745,0.31343283582089554
7,5.215320011129858,0.3308110387874148,1.2630966935519474,19,27,35,81,0,14,21,0.43209876543209874,0.3333333333333333
8,5.8508019020959665,0.3571655924183932,1.3637231710520468,18,39,34,91,0,16,18,0.37362637362637363,0.42857142857142855
9,6.081148014404029,0.36647954083349427,1.3992855195460685,14,49,46,109,0,21,25,0.42201834862385323,0.44954128440366975
10,6.507196253881876,0.3834028073299454,1.4639016279870642,21,52,54,127,0,29,25,0.4251968503937008,0.4094488188976378
11,7.127282348907026,0.40738840217446404,1.5554829901206806,31,58,57,146,0,33,24,0.3904109589041096,0.3972602739726027
12,7.844093461938748,0.43426469652987726,1.6581015685686227,37,71,61,169,0,39,22,0.3609467455621302,0.42011834319526625
13,8.426614232964116,0.4555066903954339,1.7392073633280203,43,83,66,192,0,41,25,0.34375,0.4322916666666667
14,9.330616952600941,0.4875280325062334,1.8614706695692547,49,98,66,213,0,49,17,0.30985915492957744,0.460093896713615
15,10.065877154011211,0.5128146644116279,1.958019627753488,51,117,73,241,0,53,20,0.3029045643153527,0.4854771784232365
16,10.845203005164796,0.5389533085273432,2.057821723468038,55,140,71,266,0,58,13,0.2669172932330827,0.5263157894736842
17,11.555714584145267,0.5622427830913185,2.1467451718032162,52,164,81,297,0,70,11,0.2727272727272727,0.5521885521885522
18,12.207441203724306,0.5831887164267369,2.226720553629359,60,176,94,330,0,82,12,0.28484848484848485,0.5333333333333333
19,12.981109941553944,0.6075759443373884,2.3198354238336645,66,195,99,360,0,90,9,0.275,0.5416666666666666
20,13.386356594608273,0.6201559931545706,2.36786833749927,63,225,110,398,0,97,13,0.27638190954773867,0.5653266331658291
21,13.86559918963681,0.6348704497088071,2.4240508079790817,70,234,136,440,0,119,17,0.3090909090909091,0.5318181818181819
22,14.674413825396188,0.6593254805347133,2.5174245620416325,91,247,147,485,0,135,12,0.3030927835051546,0.5092783505154639
23,15.238352280934164,0.6761110358035588,2.5815148639772234,94,279,161,534,0,152,9,0.301498127340824,0.5224719101123596
24,16.121918781721458,0.7020000953638552,2.6803640004801736,119,291,177,587,0,167,10,0.30153321976149916,0.4957410562180579
25,16.869061687289477,0.7235246015386437,2.762548478602093,114,339,185,638,0,177,8,0.28996865203761757,0.5313479623824452
26,17.86934919560151,0.7518511049293581,2.8707042188211864,125,370,199,694,0,190,9,0.28674351585014407,0.5331412103746398
27,18.25272612439232,0.7625667122733037,2.911618355952615,133,418,204,755,0,192,12,0.27019867549668874,0.5536423841059602
28,19.18837418435887,0.7884088144544315,3.0102882006441924,144,440,232,816,0,227,5,0.28431372549019607,0.5392156862745098
29,19.4930809635797,0.7967333741082526,3.042072882958783,151,489,244,884,0,240,4,0.27601809954751133,0.5531674208144797
30,20.386305826264067,0.8208901449192557,3.134307826055338,163,508,278,949,0,274,4,0.2929399367755532,0.5353003161222339
31,20.821410127603375,0.8325291414909028,3.178747631147081,174,556,296,1026,0,292,4,0.2884990253411306,0.5419103313840156
32,21.313479530808582,0.8455947072550936,3.2286343367921755,187,582,337,1106,0,333,4,0.3047016274864376,0.5262206148282098
33,22.12903550073513,0.8670304341376293,3.3104798394345845,197,624,368,1189,0,364,4,0.30950378469301937,0.5248107653490328
34,22.674811361446377,0.8812283768782974,3.3646901662625908,224,672,379,1275,0,377,2,0.2972549019607843,0.5270588235294118
35,23.268619201607834,0.896547065417395,3.4231797043209617,223,718,432,1373,0,430,2,0.314639475600874,0.5229424617625638
36,24.460157821075757,0.9268985193185599,3.5390670737617724,258,756,450,1464,0,448,2,0.3073770491803279,0.5163934426229508
37,25.094274418461456,0.9428496563170733,3.599971415028827,272,844,446,1562,0,444,2,0.2855313700384123,0.5403329065300896
38,26.337263036673445,0.9737327549215952,3.717888700609728,280,902,481,1663,0,481,0,0.28923631990378834,0.5423932651834035
39,26.982627736483952,0.9895752991181579,3.778378414814788,298,1005,467,1770,0,467,0,0.26384180790960454,0.5677966101694916
40,27.67365303458133,1.0063993467408914,3.84261568755613,300,1070,513,1883,0,513,0,0.272437599575146,0.5682421667551779
41,28.306101235362604,1.021674895818597,3.900940511307369,342,1121,533,1996,0,533,0,0.26703406813627256,0.561623246492986
42,29.331694349055855,1.0462065925237696,3.9946069896362104,357,1194,569,2120,0,569,0,0.26839622641509436,0.5632075471698114
43,30.04585136606317,1.0631201788893716,4.059186137577603,386,1292,572,2250,0,572,0,0.25422222222222224,0.5742222222222222
44,30.569984055797367,1.0754481908034317,4.106256728522193,395,1364,625,2384,0,625,0,0.26216442953020136,0.5721476510067114
45,31.124438872400507,1.0884129627407941,4.155758585010306,412,1437,674,2523,0,674,0,0.2671422909235038,0.5695600475624257
46,31.78374354357112,1.1037296695271055,4.214240556376219,440,1497,735,2672,0,735,0,0.2750748502994012,0.5602544910179641
47,32.12865830087903,1.1117003565825136,4.244674088769598,455,1592,770,2817,0,770,0,0.273340433084842,0.5651402200922968
48,32.82243189317108,1.1276470524583968,4.305561473022972,481,1644,823,2948,0,823,0,0.2791723202170963,0.5576662143826323
49,33.22690506014055,1.1368921789846778,4.340861047032407,484,1757,820,3061,0,820,0,0.26788631166285526,0.5739954263312643
50,33.40391414070893,1.1409262989936726,4.356264050703112,515,1827,821,3163,0,821,0,0.25956370534302875,0.5776161871640847
51,33.78681155884732,1.1496284202410223,4.389490331829356,538,1880,836,3254,0,836,0,0.2569145666871543,0.5777504609711125
52,33.90173989028471,1.1522339750441912,4.399438813805093,543,1958,834,3335,0,834,0,0.2500749625187406,0.5871064467766117
53,34.1127336537591,1.157009790895289,4.4176737470547405,560,2005,845,3410,0,845,0,0.24780058651026393,0.5879765395894428
0,2.325140769936443,0.19305994851394429,0.73713798523506,0,0,25,25,0,4,21,1,0
1,2.579665295780262,0.20690370102740044,0.7899959493773472,11,0,19,30,0,6,13,0.6333333333333333,0
2,3.0875392538868396,0.2332389138567898,0.8905485801804701,10,9,17,36,0,7,10,0.4722222222222222,0.25
3,3.640092997235653,0.2602961060628152,0.9938578595125671,15,9,20,44,0,10,10,0.45454545454545453,0.20454545454545456
4,4.108343201572574,0.28216544631620316,1.077358976843685,9,21,24,54,0,16,8,0.4444444444444444,0.3888888888888889
5,4.71023018714361,0.309091768533583,1.1801685707645897,16,21,26,63,0,20,6,0.4126984126984127,0.3333333333333333
6,5.326325200817515,0.33548862869046553,1.2809565822726867,11,34,31,76,0,27,4,0.40789473684210525,0.4473684210526316
7,5.939568967986014,0.3607690766366129,1.3774819289761582,13,39,40,92,0,36,4,0.43478260869565216,0.42391304347826086
8,6.34585796286773,0.3770389783548507,1.4396033719003387,16,46,48,110,0,42,6,0.43636363636363634,0.41818181818181815
9,6.85605204896852,0.3969862112819646,1.5157655339856833,17,53,62,132,0,54,8,0.4696969696969697,0.4015151515151515
10,7.44425845666761,0.4193792903427273,1.601266381308595,32,55,75,162,0,70,5,0.46296296296296297,0.3395061728395062
11,8.19431160425704,0.44709622368270274,1.707094672243047,32,71,91,194,0,85,6,0.4690721649484536,0.36597938144329895
12,8.777411329411677,0.46806228926314214,1.7871469226410877,46,85,92,223,0,88,4,0.4125560538116592,0.3811659192825112
13,9.648582131832585,0.49854192222210847,1.903523703029869,55,102,105,262,0,102,3,0.40076335877862596,0.3893129770992366
14,10.177266349271738,0.5165909324586395,1.972438105751169,58,128,113,299,0,110,3,0.3779264214046823,0.4280936454849498
15,10.73595110279968,0.5353276822565335,2.0439784231613096,71,143,133,347,0,133,0,0.38328530259365995,0.41210374639769454
16,11.385150560675996,0.556696559534176,2.125568681857762,81,167,147,395,0,147,0,0.3721518987341772,0.42278481012658226
17,11.910862900370615,0.5737043845274011,2.190507650013713,91,191,175,457,0,175,0,0.38293216630196936,0.4179431072210066
18,12.789791462768884,0.6015914575346749,2.296985565132396,111,210,200,521,0,200,0,0.3838771593090211,0.40307101727447214
19,13.494094749513094,0.6234790361177465,2.3805563197223036,126,252,209,587,0,209,0,0.35604770017035775,0.4293015332197615
20,14.213532484950626,0.6454471727011987,2.464434659404577,129,299,231,659,0,231,0,0.3505311077389985,0.4537177541729894
21,14.787389406581026,0.662705169291779,2.5303288282049743,147,337,255,739,0,255,0,0.34506089309878213,0.456021650879567
22,15.549202074167347,0.6852747926402573,2.616503753717346,164,373,280,817,0,280,0,0.3427172582619339,0.4565483476132191
23,16.313445818809917,0.7075489460922512,2.7015505214431417,163,439,299,901,0,299,0,0.3318534961154273,0.4872364039955605
24,17.09891776167005,0.7300822124546028,2.787586629372119,192,482,318,992,0,318,0,0.32056451612903225,0.48588709677419356
25,18.180328511041047,0.7605489471725394,2.903914161931516,217,543,323,1083,0,323,0,0.2982456140350877,0.5013850415512465
26,19.011424875210178,0.7835543578084287,2.9917530025412753,221,630,325,1176,0,325,0,0.2763605442176871,0.5357142857142857
27,19.865011727887556,0.8068359406286026,3.080646318763756,240,698,330,1268,0,330,0,0.26025236593059936,0.5504731861198738
28,20.708404047836744,0.8295140987279571,3.1672356496885614,269,758,340,1367,0,340,0,0.24871982443306512,0.5544989027066569
29,21.237827845160155,0.8435925762113747,3.220989836443428,272,842,364,1478,0,364,0,0.2462787550744249,0.5696887686062246
30,21.99068522182223,0.8634128870308145,3.2966673868449297,293,894,395,1582,0,395,0,0.24968394437420985,0.5651074589127687
31,22.907908764167924,0.8872574370885892,3.38771021433825,327,961,413,1701,0,413,0,0.24279835390946503,0.5649617871840094
32,23.83706411693841,0.9110898217124694,3.478706591993066,337,1060,424,1821,0,424,0,0.2328390993959363,0.5820977484898407
33,24.48797541674346,0.9276011368482342,3.541749795238713,349,1164,434,1947,0,434,0,0.2229070364663585,0.5978428351309707
34,25.35666616827162,0.9494106967592373,3.625022660353452,387,1228,462,2077,0,462,0,0.222436206066442,0.5912373615792008
35,26.2452476239229,0.9714634562327057,3.7092241056157853,429,1319,459,2207,0,459,0,0.20797462618939738,0.5976438604440417
36,26.98999180196427,0.9897553400427229,3.7790658437994886,429,1432,488,2349,0,488,0,0.2077479778629204,0.6096211153682418
37,27.781124671978958,1.0090032554545296,3.8525578844627506,454,1524,515,2493,0,515,0,0.20657841957480946,0.6113116726835138
38,28.51810767293262,1.0267699615142185,3.920394398508833,484,1610,556,2650,0,556,0,0.20981132075471698,0.6075471698113207
